risk_score,risk_level,ml_contribution,anomaly_contribution,rule_contribution,ml_fraud_prob,is_flagged,risk_factors,isFraud
35.33,LOW,0.01,5.33,30,0.0001,False,"['Account completely drained', '>90% of balance transferred', 'Large origin balance discrepancy']",0
35.63,LOW,0.01,5.62,30,0.0001,False,"['Account completely drained', '>90% of balance transferred', 'Large origin balance discrepancy', 'Destination had zero balance']",0
35.86,LOW,0.06,5.8,30,0.0011,False,"['Account completely drained', '>90% of balance transferred', 'Large origin balance discrepancy', 'Destination had zero balance']",0
35.82,LOW,0.01,5.81,30,0.0001,False,"['Account completely drained', 'Both origin & dest balance errors', '>90% of balance transferred', 'Large origin balance discrepancy']",0
35.56,LOW,0.63,4.93,30,0.0127,False,"['Account completely drained', '>90% of balance transferred', 'Large origin balance discrepancy']",0
35.69,LOW,0.01,5.68,30,0.0001,False,"['Account completely drained', 'Both origin & dest balance errors', '>90% of balance transferred', 'Large origin balance discrepancy']",0
35.25,LOW,0.05,5.19,30,0.001,False,"['Account completely drained', '>90% of balance transferred', 'Large origin balance discrepancy']",0
7.03,LOW,0.04,6.98,0,0.0008,False,[],0
35.59,LOW,0.05,5.54,30,0.0009,False,"['Account completely drained', '>90% of balance transferred', 'Large origin balance discrepancy', 'Destination had zero balance']",0
35.62,LOW,0.01,5.62,30,0.0001,False,"['Account completely drained', '>90% of balance transferred', 'Large origin balance discrepancy', 'Destination had zero balance']",0
36.78,LOW,0.0,6.78,30,0.0,False,"['Account completely drained', 'Both origin & dest balance errors', '>90% of balance transferred', 'Large origin balance discrepancy']",0
35.73,LOW,0.0,5.73,30,0.0,False,"['Account completely drained', 'Both origin & dest balance errors', '>90% of balance transferred', 'Large origin balance discrepancy']",0
34.95,LOW,0.08,4.86,30,0.0017,False,"['Account completely drained', '>90% of balance transferred', 'Large origin balance discrepancy']",0
6.73,LOW,0.43,6.3,0,0.0087,False,[],0
36.36,LOW,0.0,6.36,30,0.0,False,"['Account completely drained', '>90% of balance transferred', 'Large origin balance discrepancy']",0
36.96,LOW,0.0,6.96,30,0.0,False,"['Account completely drained', 'Both origin & dest balance errors', '>90% of balance transferred', 'Large origin balance discrepancy']",0
35.19,LOW,0.17,5.02,30,0.0034,False,"['Account completely drained', '>90% of balance transferred', 'Large origin balance discrepancy']",0
35.58,LOW,0.0,5.58,30,0.0,False,"['Account completely drained', '>90% of balance transferred', 'Large origin balance discrepancy']",0
35.82,LOW,0.01,5.81,30,0.0001,False,"['Account completely drained', '>90% of balance transferred', 'Large origin balance discrepancy', 'Destination had zero balance']",0
35.43,LOW,0.0,5.43,30,0.0,False,"['Account completely drained', '>90% of balance transferred', 'Large origin balance discrepancy']",0
14.42,LOW,0.04,7.38,7,0.0009,False,['Destination had zero balance'],0
35.52,LOW,0.01,5.52,30,0.0001,False,"['Account completely drained', '>90% of balance transferred', 'Large origin balance discrepancy']",0
7.83,LOW,0.03,7.8,0,0.0005,False,[],0
37.02,LOW,0.0,7.02,30,0.0,False,"['Account completely drained', '>90% of balance transferred', 'Large origin balance discrepancy']",0
36.59,LOW,0.0,6.59,30,0.0,False,"['Account completely drained', '>90% of balance transferred', 'Large origin balance discrepancy']",0
36.91,LOW,0.0,6.91,30,0.0,False,"['Account completely drained', 'Both origin & dest balance errors', '>90% of balance transferred', 'Large origin balance discrepancy']",0
35.74,LOW,0.01,5.73,30,0.0001,False,"['Account completely drained', '>90% of balance transferred', 'Large origin balance discrepancy', 'Destination had zero balance']",0
7.6,LOW,0.35,7.25,0,0.007,False,[],0
35.94,LOW,0.06,5.88,30,0.0011,False,"['Account completely drained', '>90% of balance transferred', 'Large origin balance discrepancy']",0
35.78,LOW,0.01,5.78,30,0.0001,False,"['Account completely drained', '>90% of balance transferred', 'Large origin balance discrepancy', 'Destination had zero balance']",0
7.24,LOW,0.11,7.13,0,0.0022,False,[],0
35.25,LOW,0.24,5.01,30,0.0047,False,"['Account completely drained', '>90% of balance transferred', 'Large origin balance discrepancy']",0
34.95,LOW,0.1,4.85,30,0.0019,False,"['Account completely drained', '>90% of balance transferred', 'Large origin balance discrepancy']",0
36.18,LOW,0.0,6.18,30,0.0,False,"['Account completely drained', '>90% of balance transferred', 'Large origin balance discrepancy']",0
35.89,LOW,0.0,5.89,30,0.0,False,"['Account completely drained', '>90% of balance transferred', 'Large origin balance discrepancy', 'Destination had zero balance']",0
36.03,LOW,0.01,6.02,30,0.0001,False,"['Account completely drained', 'Both origin & dest balance errors', '>90% of balance transferred', 'Large origin balance discrepancy']",0
35.5,LOW,0.08,5.41,30,0.0017,False,"['Account completely drained', '>90% of balance transferred', 'Large origin balance discrepancy', 'Destination had zero balance']",0
35.12,LOW,0.0,5.12,30,0.0,False,"['Account completely drained', '>90% of balance transferred', 'Large origin balance discrepancy']",0
35.2,LOW,0.25,4.96,30,0.005,False,"['Account completely drained', '>90% of balance transferred', 'Large origin balance discrepancy']",0
14.94,LOW,0.34,7.59,7,0.0069,False,['Destination had zero balance'],0
35.8,LOW,0.05,5.75,30,0.001,False,"['Account completely drained', '>90% of balance transferred', 'Large origin balance discrepancy']",0
36.42,LOW,0.0,6.42,30,0.0,False,"['Account completely drained', 'Both origin & dest balance errors', '>90% of balance transferred', 'Large origin balance discrepancy']",0
36.09,LOW,0.01,6.08,30,0.0001,False,"['Account completely drained', '>90% of balance transferred', 'Large origin balance discrepancy', 'Destination had zero balance']",0
35.9,LOW,0.85,5.05,30,0.017,False,"['Account completely drained', '>90% of balance transferred', 'Large origin balance discrepancy']",0
35.26,LOW,0.01,5.25,30,0.0001,False,"['Account completely drained', '>90% of balance transferred', 'Large origin balance discrepancy']",0
35.59,LOW,0.05,5.54,30,0.0009,False,"['Account completely drained', '>90% of balance transferred', 'Large origin balance discrepancy', 'Destination had zero balance']",0
37.53,LOW,0.0,7.53,30,0.0,False,"['Account completely drained', 'Both origin & dest balance errors', '>90% of balance transferred', 'Large origin balance discrepancy', 'Destination had zero balance']",0
35.94,LOW,0.0,5.94,30,0.0,False,"['Account completely drained', 'Both origin & dest balance errors', '>90% of balance transferred', 'Large origin balance discrepancy']",0
35.22,LOW,0.0,5.22,30,0.0,False,"['Account completely drained', '>90% of balance transferred', 'Large origin balance discrepancy']",0
35.67,LOW,0.01,5.66,30,0.0001,False,"['Account completely drained', 'Both origin & dest balance errors', '>90% of balance transferred', 'Large origin balance discrepancy']",0
36.18,LOW,0.0,6.18,30,0.0,False,"['Account completely drained', '>90% of balance transferred', 'Large origin balance discrepancy']",0
35.37,LOW,0.46,4.9,30,0.0093,False,"['Account completely drained', '>90% of balance transferred', 'Large origin balance discrepancy']",0
36.97,LOW,0.05,6.93,30,0.001,False,"['Account completely drained', '>90% of balance transferred', 'Large origin balance discrepancy']",0
16.84,LOW,0.08,6.76,10,0.0016,False,['>90% of balance transferred'],0
35.33,LOW,0.37,4.96,30,0.0074,False,"['Account completely drained', '>90% of balance transferred', 'Large origin balance discrepancy']",0
36.54,LOW,0.05,6.49,30,0.001,False,"['Account completely drained', '>90% of balance transferred', 'Large origin balance discrepancy']",0
36.32,LOW,0.1,6.22,30,0.002,False,"['Account completely drained', '>90% of balance transferred', 'Large origin balance discrepancy']",0
7.46,LOW,0.0,7.46,0,0.0,False,[],0
6.55,LOW,0.36,6.18,0,0.0073,False,[],0
35.76,LOW,0.01,5.75,30,0.0001,False,"['Account completely drained', '>90% of balance transferred', 'Large origin balance discrepancy', 'Destination had zero balance']",0
35.49,LOW,0.06,5.43,30,0.0011,False,"['Account completely drained', '>90% of balance transferred', 'Large origin balance discrepancy']",0
35.75,LOW,0.06,5.69,30,0.0011,False,"['Account completely drained', '>90% of balance transferred', 'Large origin balance discrepancy']",0
15.29,LOW,0.36,7.93,7,0.0072,False,['Destination had zero balance'],0
35.55,LOW,0.08,5.47,30,0.0017,False,"['Account completely drained', '>90% of balance transferred', 'Large origin balance discrepancy', 'Destination had zero balance']",0
35.04,LOW,0.0,5.04,30,0.0,False,"['Account completely drained', '>90% of balance transferred', 'Large origin balance discrepancy']",0
35.43,LOW,0.05,5.38,30,0.001,False,"['Account completely drained', '>90% of balance transferred', 'Large origin balance discrepancy']",0
35.59,LOW,0.01,5.59,30,0.0001,False,"['Account completely drained', '>90% of balance transferred', 'Large origin balance discrepancy', 'Destination had zero balance']",0
35.06,LOW,0.0,5.06,30,0.0,False,"['Account completely drained', '>90% of balance transferred', 'Large origin balance discrepancy']",0
35.77,LOW,0.0,5.77,30,0.0,False,"['Account completely drained', 'Both origin & dest balance errors', '>90% of balance transferred', 'Large origin balance discrepancy']",0
36.77,LOW,0.12,6.65,30,0.0024,False,"['Account completely drained', '>90% of balance transferred', 'Large origin balance discrepancy']",0
36.02,LOW,0.0,6.02,30,0.0,False,"['Account completely drained', 'Both origin & dest balance errors', '>90% of balance transferred', 'Large origin balance discrepancy']",0
35.99,LOW,0.0,5.99,30,0.0,False,"['Account completely drained', 'Both origin & dest balance errors', '>90% of balance transferred', 'Large origin balance discrepancy']",0
35.22,LOW,0.3,4.92,30,0.0061,False,"['Account completely drained', '>90% of balance transferred', 'Large origin balance discrepancy']",0
35.12,LOW,0.1,5.02,30,0.0021,False,"['Account completely drained', '>90% of balance transferred', 'Large origin balance discrepancy']",0
36.34,LOW,0.0,6.34,30,0.0,False,"['Account completely drained', 'Both origin & dest balance errors', '>90% of balance transferred', 'Large origin balance discrepancy']",0
35.33,LOW,0.0,5.33,30,0.0,False,"['Account completely drained', '>90% of balance transferred', 'Large origin balance discrepancy']",0
35.14,LOW,0.06,5.08,30,0.0012,False,"['Account completely drained', '>90% of balance transferred', 'Large origin balance discrepancy']",0
36.45,LOW,0.0,6.45,30,0.0,False,"['Account completely drained', '>90% of balance transferred', 'Large origin balance discrepancy']",0
37.28,LOW,0.17,7.12,30,0.0033,False,"['Account completely drained', '>90% of balance transferred', 'Large origin balance discrepancy']",0
35.64,LOW,0.0,5.64,30,0.0,False,"['Account completely drained', 'Both origin & dest balance errors', '>90% of balance transferred', 'Large origin balance discrepancy']",0
35.21,LOW,0.05,5.16,30,0.0011,False,"['Account completely drained', '>90% of balance transferred', 'Large origin balance discrepancy']",0
34.94,LOW,0.16,4.78,30,0.0032,False,"['Account completely drained', '>90% of balance transferred', 'Large origin balance discrepancy']",0
35.38,LOW,0.45,4.93,30,0.009,False,"['Account completely drained', '>90% of balance transferred', 'Large origin balance discrepancy']",0
36.06,LOW,0.72,5.33,30,0.0145,False,"['Account completely drained', '>90% of balance transferred', 'Large origin balance discrepancy']",0
35.41,LOW,0.08,5.33,30,0.0017,False,"['Account completely drained', '>90% of balance transferred', 'Large origin balance discrepancy', 'Destination had zero balance']",0
36.33,LOW,0.0,6.33,30,0.0,False,"['Account completely drained', '>90% of balance transferred', 'Large origin balance discrepancy']",0
39.77,LOW,4.54,5.22,30,0.0909,False,"['Account completely drained', '>90% of balance transferred', 'Large origin balance discrepancy']",0
35.29,LOW,0.0,5.29,30,0.0,False,"['Account completely drained', '>90% of balance transferred', 'Large origin balance discrepancy']",0
38.04,LOW,0.0,8.04,30,0.0,False,"['Account completely drained', 'Both origin & dest balance errors', '>90% of balance transferred', 'Large origin balance discrepancy']",0
35.08,LOW,0.01,5.07,30,0.0001,False,"['Account completely drained', '>90% of balance transferred', 'Large origin balance discrepancy']",0
35.11,LOW,0.16,4.96,30,0.0031,False,"['Account completely drained', '>90% of balance transferred', 'Large origin balance discrepancy']",0
35.09,LOW,0.0,5.09,30,0.0,False,"['Account completely drained', '>90% of balance transferred', 'Large origin balance discrepancy']",0
35.1,LOW,0.01,5.09,30,0.0001,False,"['Account completely drained', '>90% of balance transferred', 'Large origin balance discrepancy']",0
35.41,LOW,0.06,5.35,30,0.0011,False,"['Account completely drained', '>90% of balance transferred', 'Large origin balance discrepancy']",0
35.53,LOW,0.08,5.44,30,0.0017,False,"['Account completely drained', '>90% of balance transferred', 'Large origin balance discrepancy', 'Destination had zero balance']",0
35.85,LOW,0.6,5.26,30,0.0119,False,"['Account completely drained', '>90% of balance transferred', 'Large origin balance discrepancy']",0
35.56,LOW,0.49,5.06,30,0.0099,False,"['Account completely drained', '>90% of balance transferred', 'Large origin balance discrepancy']",0
35.1,LOW,0.05,5.05,30,0.001,False,"['Account completely drained', '>90% of balance transferred', 'Large origin balance discrepancy']",0
36.26,LOW,0.0,6.26,30,0.0,False,"['Account completely drained', '>90% of balance transferred', 'Large origin balance discrepancy']",0
35.33,LOW,0.0,5.33,30,0.0,False,"['Account completely drained', '>90% of balance transferred', 'Large origin balance discrepancy']",0
36.17,LOW,0.0,6.17,30,0.0,False,"['Account completely drained', '>90% of balance transferred', 'Large origin balance discrepancy']",0
36.87,LOW,0.0,6.87,30,0.0,False,"['Account completely drained', '>90% of balance transferred', 'Large origin balance discrepancy']",0
35.65,LOW,0.01,5.65,30,0.0001,False,"['Account completely drained', 'Both origin & dest balance errors', '>90% of balance transferred', 'Large origin balance discrepancy']",0
6.91,LOW,0.08,6.82,0,0.0017,False,[],0
36.09,LOW,1.0,5.09,30,0.02,False,"['Account completely drained', '>90% of balance transferred', 'Large origin balance discrepancy']",0
36.57,LOW,0.0,6.57,30,0.0,False,"['Account completely drained', 'Both origin & dest balance errors', '>90% of balance transferred', 'Large origin balance discrepancy']",0
35.59,LOW,0.01,5.59,30,0.0001,False,"['Account completely drained', 'Both origin & dest balance errors', '>90% of balance transferred', 'Large origin balance discrepancy']",0
35.82,LOW,0.43,5.38,30,0.0086,False,"['Account completely drained', '>90% of balance transferred', 'Large origin balance discrepancy', 'Destination had zero balance']",0
35.42,LOW,0.01,5.41,30,0.0001,False,"['Account completely drained', '>90% of balance transferred', 'Large origin balance discrepancy']",0
36.11,LOW,0.06,6.05,30,0.0012,False,"['Account completely drained', '>90% of balance transferred', 'Large origin balance discrepancy']",0
35.82,LOW,0.0,5.82,30,0.0,False,"['Account completely drained', '>90% of balance transferred', 'Large origin balance discrepancy']",0
37.71,LOW,1.74,5.97,30,0.0348,False,"['Account completely drained', '>90% of balance transferred', 'Large origin balance discrepancy']",0
35.31,LOW,0.0,5.31,30,0.0,False,"['Account completely drained', '>90% of balance transferred', 'Large origin balance discrepancy']",0
36.65,LOW,0.0,6.65,30,0.0,False,"['Account completely drained', '>90% of balance transferred', 'Large origin balance discrepancy']",0
38.37,LOW,0.0,8.37,30,0.0,False,"['Account completely drained', 'Both origin & dest balance errors', '>90% of balance transferred', 'Large origin balance discrepancy', 'Very large transaction (>Rs.1M)']",0
6.74,LOW,0.03,6.71,0,0.0005,False,[],0
15.49,LOW,0.19,8.3,7,0.0039,False,['Destination had zero balance'],0
6.81,LOW,0.0,6.81,0,0.0,False,[],0
36.39,LOW,0.01,6.38,30,0.0001,False,"['Account completely drained', 'Both origin & dest balance errors', '>90% of balance transferred', 'Large origin balance discrepancy']",0
7.18,LOW,0.53,6.65,0,0.0106,False,[],0
36.04,LOW,0.11,5.93,30,0.0021,False,"['Account completely drained', '>90% of balance transferred', 'Large origin balance discrepancy']",0
35.65,LOW,0.0,5.65,30,0.0,False,"['Account completely drained', '>90% of balance transferred', 'Large origin balance discrepancy']",0
36.27,LOW,0.0,6.27,30,0.0,False,"['Account completely drained', '>90% of balance transferred', 'Large origin balance discrepancy', 'Destination had zero balance']",0
35.32,LOW,0.0,5.32,30,0.0001,False,"['Account completely drained', '>90% of balance transferred', 'Large origin balance discrepancy']",0
35.02,LOW,0.0,5.02,30,0.0,False,"['Account completely drained', '>90% of balance transferred', 'Large origin balance discrepancy']",0
36.65,LOW,0.01,6.65,30,0.0001,False,"['Account completely drained', 'Both origin & dest balance errors', '>90% of balance transferred', 'Large origin balance discrepancy']",0
35.63,LOW,0.14,5.49,30,0.0029,False,"['Account completely drained', '>90% of balance transferred', 'Large origin balance discrepancy']",0
35.71,LOW,0.0,5.71,30,0.0,False,"['Account completely drained', 'Both origin & dest balance errors', '>90% of balance transferred', 'Large origin balance discrepancy']",0
37.32,LOW,0.0,7.32,30,0.0,False,"['Account completely drained', 'Both origin & dest balance errors', '>90% of balance transferred', 'Large origin balance discrepancy']",0
35.2,LOW,0.0,5.2,30,0.0,False,"['Account completely drained', '>90% of balance transferred', 'Large origin balance discrepancy']",0
35.18,LOW,0.17,5.02,30,0.0034,False,"['Account completely drained', '>90% of balance transferred', 'Large origin balance discrepancy']",0
35.59,LOW,0.65,4.93,30,0.0131,False,"['Account completely drained', '>90% of balance transferred', 'Large origin balance discrepancy']",0
35.31,LOW,0.0,5.31,30,0.0,False,"['Account completely drained', '>90% of balance transferred', 'Large origin balance discrepancy']",0
35.79,LOW,0.63,5.16,30,0.0126,False,"['Account completely drained', '>90% of balance transferred', 'Large origin balance discrepancy']",0
36.34,LOW,0.01,6.33,30,0.0001,False,"['Account completely drained', 'Both origin & dest balance errors', '>90% of balance transferred', 'Large origin balance discrepancy', 'Destination had zero balance']",0
6.28,LOW,0.02,6.25,0,0.0005,False,[],0
36.12,LOW,0.0,6.12,30,0.0,False,"['Account completely drained', '>90% of balance transferred', 'Large origin balance discrepancy', 'Destination had zero balance']",0
36.01,LOW,0.0,6.01,30,0.0,False,"['Account completely drained', '>90% of balance transferred', 'Large origin balance discrepancy']",0
35.11,LOW,0.08,5.02,30,0.0017,False,"['Account completely drained', '>90% of balance transferred', 'Large origin balance discrepancy']",0
36.55,LOW,0.05,6.5,30,0.001,False,"['Account completely drained', '>90% of balance transferred', 'Large origin balance discrepancy']",0
35.59,LOW,0.06,5.54,30,0.0011,False,"['Account completely drained', '>90% of balance transferred', 'Large origin balance discrepancy']",0
35.67,LOW,0.76,4.92,30,0.0151,False,"['Account completely drained', '>90% of balance transferred', 'Large origin balance discrepancy']",0
35.48,LOW,0.0,5.48,30,0.0,False,"['Account completely drained', '>90% of balance transferred', 'Large origin balance discrepancy']",0
35.45,LOW,0.0,5.45,30,0.0,False,"['Account completely drained', '>90% of balance transferred', 'Large origin balance discrepancy']",0
35.59,LOW,0.05,5.54,30,0.0009,False,"['Account completely drained', '>90% of balance transferred', 'Large origin balance discrepancy', 'Destination had zero balance']",0
35.03,LOW,0.06,4.97,30,0.0012,False,"['Account completely drained', '>90% of balance transferred', 'Large origin balance discrepancy']",0
35.29,LOW,0.21,5.08,30,0.0041,False,"['Account completely drained', '>90% of balance transferred', 'Large origin balance discrepancy']",0
35.45,LOW,0.08,5.37,30,0.0017,False,"['Account completely drained', '>90% of balance transferred', 'Large origin balance discrepancy', 'Destination had zero balance']",0
35.68,LOW,0.0,5.68,30,0.0,False,"['Account completely drained', 'Both origin & dest balance errors', '>90% of balance transferred', 'Large origin balance discrepancy']",0
35.53,LOW,0.0,5.53,30,0.0,False,"['Account completely drained', '>90% of balance transferred', 'Large origin balance discrepancy']",0
35.32,LOW,0.0,5.32,30,0.0001,False,"['Account completely drained', '>90% of balance transferred', 'Large origin balance discrepancy']",0
35.59,LOW,0.06,5.54,30,0.0011,False,"['Account completely drained', '>90% of balance transferred', 'Large origin balance discrepancy']",0
35.15,LOW,0.0,5.15,30,0.0,False,"['Account completely drained', '>90% of balance transferred', 'Large origin balance discrepancy']",0
36.28,LOW,0.0,6.28,30,0.0,False,"['Account completely drained', '>90% of balance transferred', 'Large origin balance discrepancy']",0
7.59,LOW,0.42,7.17,0,0.0085,False,[],0
15.25,LOW,0.35,7.9,7,0.007,False,['Destination had zero balance'],0
34.96,LOW,0.03,4.93,30,0.0007,False,"['Account completely drained', '>90% of balance transferred', 'Large origin balance discrepancy']",0
35.71,LOW,0.0,5.71,30,0.0,False,"['Account completely drained', '>90% of balance transferred', 'Large origin balance discrepancy', 'Destination had zero balance']",0
35.7,LOW,0.17,5.53,30,0.0035,False,"['Account completely drained', 'Both origin & dest balance errors', '>90% of balance transferred', 'Large origin balance discrepancy']",0
35.82,LOW,0.01,5.82,30,0.0001,False,"['Account completely drained', 'Both origin & dest balance errors', '>90% of balance transferred', 'Large origin balance discrepancy']",0
38.7,LOW,0.0,8.7,30,0.0,False,"['Account completely drained', '>90% of balance transferred', 'Large origin balance discrepancy', 'Very large transaction (>Rs.1M)']",0
35.17,LOW,0.15,5.02,30,0.003,False,"['Account completely drained', '>90% of balance transferred', 'Large origin balance discrepancy']",0
35.56,LOW,0.01,5.56,30,0.0001,False,"['Account completely drained', '>90% of balance transferred', 'Large origin balance discrepancy', 'Destination had zero balance']",0
36.59,LOW,0.0,6.59,30,0.0,False,"['Account completely drained', '>90% of balance transferred', 'Large origin balance discrepancy']",0
8.76,LOW,0.58,8.18,0,0.0116,False,[],0
7.67,LOW,0.35,7.32,0,0.007,False,[],0
35.18,LOW,0.0,5.18,30,0.0,False,"['Account completely drained', '>90% of balance transferred', 'Large origin balance discrepancy']",0
34.98,LOW,0.08,4.89,30,0.0017,False,"['Account completely drained', '>90% of balance transferred', 'Large origin balance discrepancy']",0
36.84,LOW,0.0,6.84,30,0.0,False,"['Account completely drained', '>90% of balance transferred', 'Large origin balance discrepancy']",0
35.15,LOW,0.17,4.98,30,0.0035,False,"['Account completely drained', '>90% of balance transferred', 'Large origin balance discrepancy']",0
15.13,LOW,0.0,8.13,7,0.0,False,['Destination had zero balance'],0
36.88,LOW,0.14,6.74,30,0.0028,False,"['Account completely drained', 'Both origin & dest balance errors', '>90% of balance transferred', 'Large origin balance discrepancy', 'Both balances zero post-transaction']",0
36.28,LOW,0.0,6.28,30,0.0,False,"['Account completely drained', '>90% of balance transferred', 'Large origin balance discrepancy']",0
37.1,LOW,0.61,6.49,30,0.0123,False,"['Account completely drained', '>90% of balance transferred', 'Large origin balance discrepancy']",0
35.48,LOW,0.01,5.47,30,0.0001,False,"['Account completely drained', 'Both origin & dest balance errors', '>90% of balance transferred', 'Large origin balance discrepancy']",0
35.46,LOW,0.08,5.37,30,0.0017,False,"['Account completely drained', '>90% of balance transferred', 'Large origin balance discrepancy', 'Destination had zero balance']",0
35.41,LOW,0.23,5.19,30,0.0045,False,"['Account completely drained', '>90% of balance transferred', 'Large origin balance discrepancy']",0
35.63,LOW,0.0,5.63,30,0.0,False,"['Account completely drained', '>90% of balance transferred', 'Large origin balance discrepancy']",0
35.83,LOW,0.0,5.83,30,0.0,False,"['Account completely drained', 'Both origin & dest balance errors', '>90% of balance transferred', 'Large origin balance discrepancy']",0
35.18,LOW,0.26,4.92,30,0.0052,False,"['Account completely drained', '>90% of balance transferred', 'Large origin balance discrepancy']",0
36.48,LOW,0.0,6.48,30,0.0,False,"['Account completely drained', 'Both origin & dest balance errors', '>90% of balance transferred', 'Large origin balance discrepancy']",0
35.73,LOW,0.01,5.72,30,0.0001,False,"['Account completely drained', 'Both origin & dest balance errors', '>90% of balance transferred', 'Large origin balance discrepancy']",0
35.83,LOW,0.01,5.82,30,0.0001,False,"['Account completely drained', 'Both origin & dest balance errors', '>90% of balance transferred', 'Large origin balance discrepancy']",0
37.22,LOW,0.0,7.22,30,0.0,False,"['Account completely drained', 'Both origin & dest balance errors', '>90% of balance transferred', 'Large origin balance discrepancy']",0
35.59,LOW,0.06,5.54,30,0.0011,False,"['Account completely drained', '>90% of balance transferred', 'Large origin balance discrepancy']",0
37.11,LOW,0.0,7.11,30,0.0,False,"['Account completely drained', 'Both origin & dest balance errors', '>90% of balance transferred', 'Large origin balance discrepancy']",0
36.17,LOW,0.0,6.17,30,0.0,False,"['Account completely drained', '>90% of balance transferred', 'Large origin balance discrepancy']",0
36.83,LOW,0.22,6.61,30,0.0044,False,"['Account completely drained', '>90% of balance transferred', 'Large origin balance discrepancy']",0
35.31,LOW,0.0,5.31,30,0.0,False,"['Account completely drained', '>90% of balance transferred', 'Large origin balance discrepancy']",0
35.52,LOW,0.08,5.43,30,0.0017,False,"['Account completely drained', '>90% of balance transferred', 'Large origin balance discrepancy', 'Destination had zero balance']",0
37.39,LOW,0.0,7.39,30,0.0,False,"['Account completely drained', '>90% of balance transferred', 'Large origin balance discrepancy']",0
36.36,LOW,0.01,6.35,30,0.0001,False,"['Account completely drained', 'Both origin & dest balance errors', '>90% of balance transferred', 'Large origin balance discrepancy']",0
35.14,LOW,0.01,5.13,30,0.0001,False,"['Account completely drained', '>90% of balance transferred', 'Large origin balance discrepancy']",0
34.99,LOW,0.05,4.94,30,0.001,False,"['Account completely drained', '>90% of balance transferred', 'Large origin balance discrepancy']",0
36.58,LOW,0.0,6.58,30,0.0,False,"['Account completely drained', '>90% of balance transferred', 'Large origin balance discrepancy']",0
36.53,LOW,0.05,6.48,30,0.001,False,"['Account completely drained', '>90% of balance transferred', 'Large origin balance discrepancy']",0
36.93,LOW,0.0,6.93,30,0.0,False,"['Account completely drained', 'Both origin & dest balance errors', '>90% of balance transferred', 'Large origin balance discrepancy']",0
35.19,LOW,0.0,5.19,30,0.0,False,"['Account completely drained', '>90% of balance transferred', 'Large origin balance discrepancy']",0
35.74,LOW,0.44,5.3,30,0.0089,False,"['Account completely drained', '>90% of balance transferred', 'Large origin balance discrepancy']",0
35.58,LOW,0.07,5.51,30,0.0014,False,"['Account completely drained', '>90% of balance transferred', 'Large origin balance discrepancy', 'Destination had zero balance']",0
34.95,LOW,0.08,4.86,30,0.0017,False,"['Account completely drained', '>90% of balance transferred', 'Large origin balance discrepancy']",0
35.75,LOW,0.0,5.75,30,0.0,False,"['Account completely drained', '>90% of balance transferred', 'Large origin balance discrepancy']",0
35.99,LOW,0.0,5.99,30,0.0,False,"['Account completely drained', '>90% of balance transferred', 'Large origin balance discrepancy']",0
7.15,LOW,0.0,7.15,0,0.0,False,[],0
34.96,LOW,0.01,4.96,30,0.0001,False,"['Account completely drained', '>90% of balance transferred', 'Large origin balance discrepancy']",0
